CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
85002,0,0,0,0,0,0,1,0,2,0,0,0
85003,0,0,0,0,0,0,1,0,0,0,2,0
85004,0,0,0,1,0,0,2,0,0,0,0,0
85005,0,0,0,0,0,0,1,0,0,0,2,0
86001,0,0,0,0,0,0,2,0,1,0,0,0
86002,0,0,0,0,0,0,1,0,2,0,0,0
86003,0,0,0,0,0,0,1,0,0,0,2,0
86004,0,0,0,0,0,0,1,0,0,0,2,0
87001,0,0,0,0,0,0,2,0,1,0,0,0
87002,0,0,0,0,0,0,0,0,1,0,2,0
87003,0,0,0,0,0,0,2,0,1,0,0,0
88001,0,0,0,0,0,0,0,1,0,0,2,0
88002,0,0,0,0,0,0,1,0,0,0,2,0
88003,0,0,0,1,0,0,0,0,0,0,2,0
88004,0,0,0,0,0,0,0,1,0,0,2,0
89001,0,0,0,0,0,0,0,0,2,0,1,0
89002,0,0,0,0,0,0,1,0,0,0,2,0
89003,0,0,0,0,0,0,2,0,0,0,1,0
90001,0,0,0,0,0,0,0,1,0,0,2,0
90002,0,0,0,0,0,0,0,0,1,0,2,0
91001,0,0,0,0,0,0,2,0,1,0,0,0
91002,0,0,0,0,0,0,0,0,2,0,1,0
91003,0,0,0,0,0,0,1,0,2,0,0,0
91004,0,0,0,0,0,0,1,0,2,0,0,0
91005,0,0,0,0,0,0,1,0,2,0,0,0
91006,0,0,0,0,0,0,2,0,1,0,0,0
91007,0,0,0,0,0,0,1,0,2,0,0,0
91008,0,1,0,0,0,0,0,0,2,0,0,0
91009,0,0,0,0,0,0,1,0,2,0,0,0
91010,0,0,0,0,0,0,2,0,1,0,0,0
92001,0,0,0,0,0,0,2,0,1,0,0,0
92002,0,0,0,0,0,0,2,3,1,0,0,0
92003,0,0,0,0,0,0,2,1,3,0,0,0
92004,0,0,0,0,0,0,2,0,1,0,0,0
92005,0,0,0,0,0,0,1,0,2,0,0,0
92006,0,0,0,0,0,0,1,0,2,0,0,0
92007,0,0,0,0,0,0,1,0,2,0,0,0
